epoch,train/box_loss,train/obj_loss,train/da_seg_loss,train/ll_seg_loss,train/total_loss,val/box_loss,val/obj_loss,val/da_seg_loss,val/ll_seg_loss,val/total_loss,metrics/P,metrics/R,metrics/mAP50,metrics/mAP75,metrics/mAP50-95,metrics/da_acc,metrics/da_iou,metrics/da_miou,metrics/ll_acc,metrics/ll_iou,metrics/ll_miou,lr,fitness
1,0.022212218262371002,0.007395913341502453,0.07486055177573712,0.08920250239979881,0.19367118419143203,0.03300889501917548,0.8584098309927037,0.1329298520489678,0.11581621395298546,1.1401647736989156,0.8808892916876666,0.8980582524271845,0.9452131379433071,0.7247149732453997,0.609893511051253,0.8545521642918825,0.554489424737925,0.6884007262962692,0.0,0.0,0.49600686573474384,4.799989340836014e-06,0.6434254737404584
2,0.019347161381973507,0.004144899048335811,0.06802320379976164,0.08820941198346992,0.17972467492281463,0.01718502011941505,0.7702428922504959,0.12607196027441964,0.11583663266480278,1.029336473484731,0.8640416570537668,0.8980582524271845,0.940706443391191,0.9220124228677685,0.7903723144177089,0.9747831885074841,0.9222327721170006,0.9431280595953995,0.8545519435901984,0.2740387685196056,0.6278320910661186,9.649914282767776e-06,0.8054057273150572
3,0.017128871401356913,0.002477781944015483,0.06402159520844722,0.08715894815410666,0.17078719732057246,0.015261474279542045,0.7573253343018843,0.1255768502777722,0.11589146087940184,1.0140551056886584,0.9203322900985904,0.9053398058252428,0.9559445118779845,0.9356953272957049,0.8224300678424885,0.9823453017055269,0.9452018883330977,0.9599068751881684,0.8961277235520932,0.24185986798092715,0.6095336845232455,1.4499710205885896e-05,0.8357815122460381
4,0.01545315462690561,0.001931261592423978,0.0618520480209064,0.0866985048066072,0.16593496895207024,0.015303476400325955,0.7528768118428443,0.12530041513047688,0.11578202259200843,1.0092627026256502,0.924552470107324,0.9220432773085792,0.9632187536119315,0.9450712938732492,0.8275204596049421,0.987886532095567,0.9622453251959904,0.9723572759548311,0.89063765088555,0.29545352861106616,0.6391213011366002,1.934931249240473e-05,0.8410902890056411
5,0.014472052235677461,0.001681529633276204,0.06055768735590994,0.08638290551833692,0.16309417421336,0.01577311381157198,0.7524985385558767,0.12512856359000032,0.1156993043642742,1.009099511902567,0.9507945972435695,0.9077669902912622,0.9679108677867335,0.950812239257786,0.823317815091757,0.9914709943508925,0.9734364169570245,0.9805047438450455,0.8985620655781297,0.3547331709804371,0.6707526329282157,2.4198656527725283e-05,0.8377771203612547
6,0.013842805222526119,0.001514162058348482,0.05980492524146416,0.08618418815897999,0.16134608085291374,0.014644168732697482,0.7459647369384764,0.12503534748455403,0.11564392834863206,1.001288173112227,0.954179330043245,0.9101941747572816,0.9724434097410057,0.9525092703685301,0.8369603819188558,0.9931036134499138,0.97853994592736,0.9842274849063669,0.9095521329239269,0.40304936142059317,0.696083976135701,2.9047677701498125e-05,0.8505086847010709
7,0.013040226487915753,0.0013848515542059976,0.05940259917798438,0.08597042441966465,0.15979810128557867,0.0172297106814508,0.7525711356049373,0.12498333274237232,0.11560729989502097,1.0103914632698414,0.9526044522538227,0.9268975653440433,0.9766448087602572,0.9574375221372866,0.8145353144931675,0.9938076829663215,0.9807474996153037,0.9858380839175968,0.9295655340974849,0.43586539825055354,0.7130773686013737,3.389631140868619e-05,0.8307462639198765
8,0.012731137918067103,0.0013319824311708544,0.05913994692922256,0.08583216991642287,0.15903523641546774,0.014151179889323181,0.7436447147507742,0.12495292630529156,0.11557140516918249,0.9983201990473456,0.9527349025745157,0.9295824942280364,0.9787889421947531,0.9600202726366696,0.8514128379851126,0.9942602637449625,0.9821761523072271,0.9868775644540925,0.9473226392824936,0.47216208325659137,0.7318111676473439,3.874449305062755e-05,0.8641504484060767
9,0.012030442143968973,0.0012496701654992567,0.058869016062410386,0.08568974224358333,0.1578388690485238,0.014376119894067235,0.7424616822554039,0.12493158104815014,0.11554527196820845,0.9973146155708195,0.9290679943765904,0.9538834951456311,0.9815074140651674,0.9598143900885432,0.8536499981430559,0.9945892478051238,0.9832388219114944,0.9876425809821754,0.9596750908596289,0.4966253347693016,0.7443948394086082,4.3592158036098035e-05,0.8664357397352671
10,0.011925478370696149,0.0012064895315645895,0.058804947689870476,0.08555744823859764,0.1574943635439008,0.013443755498204205,0.7383695746703469,0.12491383677628373,0.11552119057220189,0.9922483288562359,0.9353623112872831,0.9490291262135923,0.9828263993524683,0.9623275843948971,0.8638713316694941,0.9949093489133563,0.9842865981865047,0.988393019503817,0.966042768609367,0.5212607002779583,0.7570594447795516,4.843924178237387e-05,0.8757668384377917
11,0.01146756059765198,0.0011428986142336401,0.058669329365145975,0.08547902576760462,0.15675881358317142,0.014431464140896973,0.7404971890622469,0.1249027040261061,0.11551014440124517,0.9953414751458044,0.9314324787379269,0.9563106796116505,0.9840337114430094,0.9645084547742602,0.8534963055978471,0.995163558757916,0.9850805671871278,0.9889749805975223,0.9695805062125943,0.5336788538495255,0.7634301613384871,4.99365797716489e-05,0.8665500461823633
12,0.011422338121295596,0.0010901570351012633,0.0585382061532742,0.0854329101770267,0.15648361098581026,0.013405958210248408,0.737412378182683,0.12488617674674395,0.11550753982496385,0.9912120239722296,0.9401609551396366,0.9533684899582038,0.9848916084546605,0.9649999140948836,0.8694082723772034,0.9952722905872193,0.9854641422206728,0.9892415504940387,0.9723010504288054,0.5328628439039764,0.7630010497343629,4.998656633798689e-05,0.8809566059849492
13,0.011024205826724745,0.0010642177186944936,0.058520188931510855,0.0854264863578535,0.15603509792392117,0.013492443629497072,0.7367620667768883,0.12488408436892563,0.11549988943948337,0.9906384605200179,0.9298950233481925,0.9684466019417476,0.9854560825684846,0.9741368985907009,0.865294704499054,0.9954557066781808,0.9860543503360305,0.9896684592917355,0.9738130831035902,0.541326312197535,0.7673424208769538,4.998401313441326e-05,0.8773108423059971
14,0.010846971526664776,0.0010563042914311501,0.058368962065080285,0.08535089297943936,0.15562313084775303,0.014065160294270887,0.7370722467294007,0.12487485059030315,0.11549773712888592,0.9915099724586763,0.9275752663881315,0.9684466019417476,0.9857807026972246,0.9662392010761043,0.8571723889960932,0.9955315603411053,0.9862952074588169,0.9898438058026802,0.974943275378785,0.5425003799501277,0.7679416341503581,4.998123802270715e-05,0.8700332203662063
15,0.010638705782322065,0.0009978061860398306,0.058332203872926494,0.08531651782943177,0.15528523257976987,0.014000225925692623,0.737332826525436,0.124880012259891,0.11549394976328382,0.9917070062666977,0.9398561341076231,0.9514563106796117,0.986223690069822,0.9750798845608426,0.8649560696476483,0.9955138619027055,0.9862547459185032,0.9898090827050663,0.9757574452475288,0.545920686627443,0.7696942135925419,4.9978241030257813e-05,0.8770828316898657
16,0.010378910303115847,0.000962443911890292,0.05827954872824985,0.08530040785979112,0.1549213100900304,0.012730245608739902,0.7335419017416206,0.1248564646806124,0.11548761165474054,0.9866162288374234,0.9402633007623611,0.9563106796116505,0.9865956236649515,0.9748655030958606,0.8782496880213655,0.9957253436240645,0.9868871804679555,0.9902826617057958,0.9762742294396511,0.5556110687899437,0.7746634366033275,4.9975022186644335e-05,0.8890842815857241
17,0.010371795824772335,0.0009593302590550539,0.05824008659300409,0.08528309215072523,0.15485430404621084,0.012855200007789495,0.7332994897872056,0.12485936697128523,0.11548783937034829,0.9865018669805379,0.9511940933800409,0.9466019417475728,0.9867019406945442,0.9751342490697336,0.8753770735716557,0.9956717535621761,0.986750780026189,0.9901723049147511,0.9768730535030659,0.5529818647918123,0.7733134712781031,4.99715815236354e-05,0.8865095602839446
18,0.010115204697445883,0.0009449893201416638,0.058207982021909924,0.08524741770921594,0.15451559362633857,0.012005673875462822,0.7316831950449575,0.12485730289023157,0.11548189004313761,0.9840280265388094,0.924122284019301,0.9755108855548565,0.9870003715746974,0.9763011924789438,0.8841135505084974,0.9955873542746113,0.9865103465778747,0.9899879417182285,0.9765458328403536,0.5624036765139107,0.7781446830702166,4.9967919075188965e-05,0.8944022326151174
19,0.009906468255532219,0.0008804727967230149,0.05815431133993549,0.085217479973491,0.1541587307354329,0.012418432470430361,0.7325287118229842,0.12485075850097627,0.11548750010835383,0.9852853905351668,0.9302324053331991,0.9708715058102942,0.9870108819177811,0.9758421629375804,0.8803838416987956,0.9957782815198618,0.9870844597700625,0.9904167289671233,0.9776207220365092,0.5524817616773992,0.7730543097851961,4.9964034877451944e-05,0.8910465457206942
20,0.009830052302909018,0.0008845886711629564,0.05812920112683983,0.08521958756130285,0.15406342893066802,0.011244733642420004,0.7303517071817821,0.12484624483888013,0.11548446866784998,0.981927134521267,0.9364687758574878,0.9659900583890045,0.9869212424246846,0.9756923080737969,0.9024234343886007,0.9958503571171563,0.9873380897195744,0.9905935736327519,0.9780965875950814,0.5562746010385005,0.7749975851148317,4.995992896875977e-05,0.9108732151922091
21,0.00981201068107328,0.0008651431221418429,0.05806341784682916,0.08519050205811626,0.15393107241608317,0.011983811762666456,0.7308805479533931,0.12483941663268934,0.11547849889979771,0.9831822455855849,0.9303981029416067,0.9757281553398058,0.9876492831752938,0.9770035886295636,0.8865263418470011,0.9959063084700633,0.9875128887041031,0.9907218160115558,0.9779414985049146,0.5650538979653599,0.7794973936508728,4.9955601389636114e-05,0.8966386359798304
22,0.009468598260780689,0.0008409831564815558,0.05805497326999131,0.08518744464191594,0.1535519989969817,0.010763577686072633,0.7294224046301966,0.12484304189990839,0.11547286445612734,0.9805018586815948,0.9244594775443363,0.9805825242718447,0.9882467361818084,0.9776421438218064,0.9070369045144698,0.9959636316206103,0.9876908934392037,0.9908528113902549,0.9782430975721075,0.5724351942777399,0.7832772305880842,4.995105218279244e-05,0.9151578876812037
23,0.009468495191070084,0.000811395032495415,0.058027109797136774,0.08516040155326302,0.15346740085843932,0.010583033969365255,0.7293449615320392,0.12483424782135326,0.11547705734756636,0.9802392955888738,0.937062046159666,0.9757134501500003,0.9881688491609212,0.9772341334141962,0.9091265414333515,0.9959536467328729,0.9876613239918809,0.9908305444380281,0.9785784537091863,0.5659641619338048,0.7799620793076141,4.994628139312757e-05,0.9170307722061084
24,0.009337455034255983,0.0007838597774042366,0.05804357814742493,0.08516440799199237,0.15332930083410728,0.011098113504716154,0.7286811239608213,0.1248408072275819,0.11547499496509066,0.9800950199211199,0.9413131285748122,0.9732759153854112,0.9883199812855963,0.9774676712668241,0.9032135697984922,0.9960302650043178,0.987894783622007,0.9910039509047042,0.9788665380825674,0.5683132782953813,0.7811640690599652,4.994128906772729e-05,0.9117242109472026
